ObjectId	ISO2	ISO3	Indicator	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
1	AF	AFG	Drought																					1						1		1			1							1			1	
2	AF	AFG	Extreme temperature											1	1										2				1			1				1										
3	AF	AFG	Flood	1								1			3	2			2	1	2	1	1			4	8	2	8	7	7	1	3	2	2	6	4	2	1	4	1	3	6	5	2	5
4	AF	AFG	Landslide								1						2		1		1	1				1				2			1	2		3	1		4		2	1	1	1	1	1
5	AF	AFG	Storm														1												1	2					1			1			2			1		
6	AF	AFG	TOTAL	1							1	1		1	4	2	3		3	1	3	2	2	1	2	5	8	2	10	12	7	3	4	4	4	10	5	3	5	4	5	5	7	7	4	6
7	AF	AFG	Wildfire																				1																							
8	AL	ALB	Drought										1																																	
9	AL	ALB	Extreme temperature						1																			1			1					1					1					
10	AL	ALB	Flood													1			2		1					1		1	1				1	1					3	1	1	1			1	
11	AL	ALB	Landslide						1																																					
12	AL	ALB	Storm																							1			1																	
13	AL	ALB	TOTAL						2				1			1			2		1					2		2	2		2		1	1		1			3	1	2	1			1	
14	AL	ALB	Wildfire																												1															
15	DZ	DZA	Drought		1																																									
16	DZ	DZA	Extreme temperature																								1														1		1			
17	DZ	DZA	Flood		1	1		1	1							1	1	2		1	1		1	4	1	3	3	2	2	1	6	1	2		1	2			2			1			2	
18	DZ	DZA	Landslide														1																													
19	DZ	DZA	Storm									1												1			1		1																	
20	DZ	DZA	TOTAL		2	1		1	1			1				1	2	3		1	1		1	5	1	3	5	2	3	1	7	1	2		1	2			2		1	1	1		3	1
21	DZ	DZA	Wildfire															1													1														1	1
22	AS	ASM	Flood																								1																			
23	AS	ASM	Storm										1															1	1																	
24	AS	ASM	TOTAL										1														1	1	1																	
25	AO	AGO	Drought		1				1				1								1				1			1								1					1			1		
26	AO	AGO	Flood										1											4	2	1	2	3	1	1	2	1	3	3	4		1		3	4	1	1	3	2	2	
27	AO	AGO	Landslide																					1																						
28	AO	AGO	TOTAL		1				1				2								1			5	3	1	2	4	1	1	2	1	3	3	4	1	1		3	4	2	1	3	3	2	
29	AI	AIA	Storm																				1																		1					
30	AI	AIA	TOTAL																				1																		1					
31	AG	ATG	Drought				1																																							
32	AG	ATG	Storm										1	1					1			1	2									1		1							1					
33	AG	ATG	TOTAL				1						1	1					1			1	2									1		1							1					
34	AR	ARG	Drought																								1						1									1	1			
35	AR	ARG	Extreme temperature																1					1	1	1		1			1			1												
36	AR	ARG	Flood	2		1	2		2	1	1	1		1		2	3		2		1	1		4	3	1	2	2		1	2	1	2			1	1	3	3	2	3	3	3	1	1	
37	AR	ARG	Landslide					1																									1					1			1					
38	AR	ARG	Storm							1	1						1		1			1		2	2	1	1		1				1			2	1		1			1		1		
39	AR	ARG	TOTAL	2		1	2	1	2	2	3	1		1		2	4	1	4		1	2	1	8	7	3	4	3	1	1	3	1	5	1		3	2	4	4	2	4	5	4	2	2	1
40	AR	ARG	Wildfire								1							1					1	1	1																				1	1
41	AM	ARM	Drought																					1																						
42	AM	ARM	Extreme temperature																																		1									
43	AM	ARM	Flood																		1	1						1																		
44	AM	ARM	Landslide																																					1						
45	AM	ARM	Storm																																		1					1	1	1		
